upper,COUNTY,INDEXYEAR,LOCATION,POPULATION,TOTAL,RATE,VTOTAL,VRATE,MURDER,RAPE,ROBBERY,ASSAULT,PTOTAL,PRATE,ARSON,BURGLARY,THEFT,MVTHEFT
THURSTON,Thurston,2012,Lacey Police Department,43602,1542,35.4,77,1.8,4,6,9,58,1465,34,1,236,1154,74
THURSTON,Thurston,1994,Nisqually Tribal Police Department,0,28,,1,,0,0,0,1,27,,0,0,25,2
THURSTON,Thurston,1995,Nisqually Tribal Police Department,0,32,,3,,0,0,0,3,29,,0,6,17,6
THURSTON,Thurston,1996,Nisqually Tribal Police Department,0,0,,0,,0,0,0,0,0,,0,0,0,0
THURSTON,Thurston,1998,Nisqually Tribal Police Department,0,28,,3,,0,0,0,3,25,,0,4,21,0
THURSTON,Thurston,1999,Nisqually Tribal Police Department,0,23,,4,,0,1,0,3,19,,0,9,10,0
THURSTON,Thurston,2000,Nisqually Tribal Police Department,0,29,,8,,0,0,0,8,21,,0,9,10,2
THURSTON,Thurston,2001,Nisqually Tribal Police Department,0,38,,14,,0,1,0,13,24,,1,8,11,4
THURSTON,Thurston,2002,Nisqually Tribal Police Department,0,2,,2,,0,0,0,2,0,,0,0,0,0
THURSTON,Thurston,2003,Nisqually Tribal Police Department,0,11,,1,,0,0,0,1,10,,0,4,5,1
THURSTON,Thurston,2004,Nisqually Tribal Police Department,0,31,,3,,0,0,0,3,28,,0,9,16,3
THURSTON,Thurston,2005,Nisqually Tribal Police Department,0,27,,2,,0,0,0,2,25,,1,3,19,2
THURSTON,Thurston,2006,Nisqually Tribal Police Department,0,14,,2,,0,0,1,1,12,,0,4,7,1
THURSTON,Thurston,2007,Nisqually Tribal Police Department,0,28,,4,,0,1,0,3,24,,0,8,13,3
THURSTON,Thurston,2008,Nisqually Tribal Police Department,0,15,,3,,0,0,0,3,12,,0,1,11,0
THURSTON,Thurston,2009,Nisqually Tribal Police Department,0,5,,0,,0,0,0,0,5,,0,0,5,0
THURSTON,Thurston,2010,Nisqually Tribal Police Department,0,48,,2,,0,0,0,2,46,,0,11,31,4
THURSTON,Thurston,2011,Nisqually Tribal Police Department,0,33,,0,,0,0,0,0,33,,0,8,23,2
THURSTON,Thurston,1994,Olympia Police Department,36740,2577,70.1,123,3.3,0,22,28,73,2454,67,12,312,1989,141
